BSSID,RxPhy,dataset,CID,Wi-Fi Ookla DL,Gate / Landmark,BW ,Cellular Ookla UL,Wi-Fi Ookla RTT,SSID,TAC,TA,Channel,Channel.1,Wi-Fi Ookla UL,Lat,RSRQ,RSRP,Long,TxPhy,PCI,EARFCN,Time,Cellular Ookla RTT,MNC,RSSI,MCC,Cellular Ookla DL,Device Type
A2:6E:85:D1:4C:F0,675,mock-dataset-2,97492,72,D1,20,38,71,Helium,38423,0,5.0,48,10,39.1757,-16,-113,-76.6688,1010,66,700,2026-01-20 16:22:00,65,410,-82,310,33,ios
9B:3F:C8:57:E2:1A,191,mock-dataset-3,97492,118,D38/D39,20,24,33,Helium,38423,1,5.0,36,2,39.17563,-16,-91,-76.66865,975,66,700,2026-01-20 16:26:00,88,410,-73,310,134,ios
9B:3F:C8:57:E2:1A,746,mock-dataset-5,97492,39,D13,20,0,77,Helium,38423,1,5.0,153,35,39.17555,-7,-92,-76.66855,752,66,700,2026-01-20 16:29:00,32,410,-93,310,166,ios
9B:3F:C8:57:E2:1A,1183,mock-dataset-5,97492,139,D13,20,13,84,Helium,38423,1,2.4,1,44,39.17548,-12,-111,-76.66845,763,66,700,2026-01-20 16:33:00,79,410,-57,310,1,android
9B:3F:C8:57:E2:1A,415,mock-dataset-4,97492,3,A15,20,12,95,Helium,38423,1,2.4,6,20,39.1754,-15,-113,-76.66835,503,92,700,2026-01-20 16:37:00,93,410,-84,310,94,ios
9B:3F:C8:57:E2:1A,1194,mock-dataset-1,97492,148,D23,20,37,71,Helium,38423,0,2.4,11,8,39.17533,-25,-94,-76.66825,1130,92,700,2026-01-20 16:40:00,38,410,-85,310,93,ios
F2:8D:46:B1:C9:05,913,mock-dataset-3,97492,145,E3,20,30,61,Helium,38423,4,2.4,11,33,39.17525,-4,-90,-76.66815,457,92,700,2026-01-20 16:44:00,73,410,-78,310,158,android
2A:C7:5E:08:D3:9F,775,mock-dataset-4,97492,46,E4,20,4,93,Helium,38423,4,5.0,36,27,39.17518,-8,-103,-76.66805,809,92,700,2026-01-20 16:48:00,54,410,-72,310,87,ios
85:4B:F6:31:EA:7C,842,mock-dataset-5,97492,46,C8,20,47,82,Helium,38423,2,5.0,157,38,39.17505,-21,-103,-76.6678,121,92,700,2026-01-20 16:51:00,101,410,-88,310,106,ios
D9:02:8F:C5:67:3A,911,mock-dataset-2,97492,8,C9,20,40,87,Helium,38423,0,5.0,116,22,39.17498,-6,-93,-76.6677,854,92,700,2026-01-20 16:55:00,91,410,-74,310,16,ios
41:E8:B3:7D:0A:F6,425,mock-dataset-3,97492,0,B7,20,47,39,Helium,38423,4,5.0,124,46,39.1749,-10,-93,-76.6676,206,92,700,2026-01-20 16:59:00,86,410,-61,310,42,ios
41:E8:B3:7D:0A:F6,886,mock-dataset-5,97492,160,C2,20,16,51,Helium,38423,3,5.0,44,50,39.17483,-17,-102,-76.6675,1108,92,700,2026-01-20 17:03:00,35,410,-85,310,103,android
41:E8:B3:7D:0A:F6,1052,mock-dataset-4,97492,66,C13,20,18,94,Helium,38423,0,5.0,48,15,39.17475,-21,-98,-76.6674,856,92,700,2026-01-20 17:06:00,98,410,-60,310,41,ios
41:E8:B3:7D:0A:F6,658,mock-dataset-4,97493,165,D8,20,28,87,Helium,38423,0,2.4,1,-6,39.17468,-9,-111,-76.6673,605,92,700,2026-01-20 17:10:00,95,410,-91,310,74,android
41:E8:B3:7D:0A:F6,870,mock-dataset-4,97493,141,B11,20,14,39,Helium,38423,0,2.4,6,47,39.1746,0,-94,-76.6672,1034,92,700,2026-01-20 17:14:00,48,410,-66,310,110,ios
EA:36:81:CF:49:5D,1133,mock-dataset-1,97493,185,B14,20,26,86,Helium,38423,0,2.4,11,31,39.17445,-20,-97,-76.66695,509,92,700,2026-01-20 17:17:00,80,410,-77,310,19,android
58:AD:F2:17:6B:C0,426,mock-dataset-2,97493,40,B6,20,35,65,Helium,38423,3,2.4,11,12,,-18,-103,,178,92,700,2026-01-20 17:21:00,56,410,-77,310,19,ios
1C:70:E9:34:A5:8F,728,mock-dataset-5,97493,-6,A3,20,34,79,Helium,38423,0,2.4,1,40,,-4,-103,,324,92,700,2026-01-20 17:25:00,87,410,-79,310,9,ios
CF:4A:85:D0:2E:73,984,mock-dataset-2,97493,185,A12,20,13,88,Helium,38423,3,2.4,6,40,,-2,-104,,735,104,700,2026-01-20 17:28:00,67,410,-65,310,106,android
72:B8:1D:69:F4:A6,459,mock-dataset-1,97493,78,E5/E7/E9,20,0,90,Helium,38423,2,2.4,1,10,,-14,-99,,1000,104,700,2026-01-20 17:32:00,81,410,-77,310,87,android
AE:25:C0:7F:53:D9,1084,mock-dataset-5,97493,62,D36,20,30,64,Helium,38423,2,2.4,6,7,,-13,-90,,749,104,700,2026-01-20 17:36:00,90,410,-71,310,95,ios
39:F1:6C:B8:04:E2,359,mock-dataset-4,97493,81,E2,20,11,33,Helium,38423,3,2.4,11,22,,-20,-112,,912,104,700,2026-01-20 17:40:00,41,410,-80,310,45,ios
84:5E:A7:23:CF:10,814,mock-dataset-1,97493,115,D11,20,10,92,Helium,38423,1,2.4,11,17,,-2,-94,,174,104,700,2026-01-20 17:43:00,77,410,-64,310,175,android
D0:79:32:EC:46:8B,714,mock-dataset-4,97493,68,D38/D39,20,13,97,Helium,38423,4,5.0,36,51,,-4,-111,,148,104,700,2026-01-20 17:47:00,50,410,-81,310,161,ios
D0:79:32:EC:46:8B,322,mock-dataset-4,97493,8,B9,20,42,22,Helium,38423,0,5.0,157,7,,-14,-85,,750,104,700,2026-01-20 17:51:00,77,410,-85,310,135,ios
D0:79:32:EC:46:8B,946,mock-dataset-3,97493,122,D13,20,17,46,Helium,38423,1,5.0,116,29,,-16,-110,,1157,104,700,2026-01-20 17:54:00,91,410,-64,310,132,android
D0:79:32:EC:46:8B,758,mock-dataset-1,97493,5,A13,20,13,63,Helium,38423,1,5.0,124,48,,-5,-85,,556,104,700,2026-01-20 17:58:00,92,410,-73,310,140,ios
D0:79:32:EC:46:8B,136,mock-dataset-2,97493,143,D31/D31A,20,24,88,Helium,38423,4,5.0,44,15,,-18,-93,,777,104,700,2026-01-20 18:02:00,59,410,-59,310,1,ios
D0:79:32:EC:46:8B,154,mock-dataset-5,97493,188,A13,20,11,89,Helium,38423,1,5.0,48,4,,-18,-102,,859,215,700,2026-01-20 18:06:00,95,410,-91,310,11,android
BA:57:08:F3:2C:95,333,mock-dataset-3,97493,75,D16,20,-1,88,Helium,38423,4,5.0,36,9,,-7,-90,,573,215,700,2026-01-20 18:09:00,86,410,-61,310,63,ios
0D:A2:7E:C1:68:DB,496,mock-dataset-3,97493,169,D4,20,26,82,Helium,38423,4,5.0,157,52,,0,-103,,266,215,700,2026-01-20 18:13:00,58,410,-56,310,60,ios
51:C9:B4:0A:E7:32,162,mock-dataset-3,97493,150,B11,20,56,74,Helium,38423,1,5.0,116,15,,-20,-113,,461,215,700,2026-01-20 18:17:00,37,410,-84,310,70,ios
9E:34:DF:86:4B:C0,1009,mock-dataset-2,97493,122,E4,20,48,89,Helium,38423,3,5.0,124,44,,-3,-104,,811,215,700,2026-01-20 18:20:00,37,410,-69,310,57,ios
C2:6B:10:F5:A9:47,1120,mock-dataset-2,97493,49,A6,20,40,52,Helium,38423,1,5.0,44,-5,,-21,-109,,390,215,700,2026-01-20 18:24:00,69,410,-67,310,31,android
3F:87:DC:24:91:E6,652,mock-dataset-3,97493,47,C12,20,34,96,Helium,38423,3,5.0,48,37,,-2,-107,,1042,215,700,2026-01-20 18:28:00,45,410,-57,310,45,android
78:A0:45:EB:1C:B9,275,mock-dataset-2,97493,197,D3,20,45,29,Helium,38423,4,5.0,36,21,,-22,-107,,119,215,700,2026-01-20 18:31:00,91,410,-81,310,40,ios
4A:7B:C2:9E:1D:F8,673,mock-dataset-3,97492,49,B13,20,44,92,Helium,38423,1,2.4,1,10,39.17615,-8,-89,-76.66945,144,66,700,2026-01-20 16:00:00,53,410,-81,310,122,android
B3:2E:8A:D4:6F:01,166,mock-dataset-3,97492,118,A6,20,24,96,Helium,38423,0,5.0,36,15,39.17608,-7,-93,-76.66935,638,66,700,2026-01-20 16:04:00,50,410,-90,310,163,ios
B3:2E:8A:D4:6F:01,839,mock-dataset-5,97492,70,E4,20,-2,77,Helium,38423,4,5.0,157,16,39.176,-15,-112,-76.66925,520,66,700,2026-01-20 16:07:00,26,410,-69,310,112,ios
B3:2E:8A:D4:6F:01,622,mock-dataset-4,97492,13,C8,20,5,72,Helium,38423,1,5.0,116,0,39.17593,-18,-104,-76.66915,791,66,700,2026-01-20 16:11:00,68,410,-88,310,157,android
E8:43:B9:0F:72:6C,775,mock-dataset-1,97492,29,E1,20,0,74,Helium,38423,4,5.0,124,33,39.17585,-17,-104,-76.66905,885,66,700,2026-01-20 16:15:00,46,410,-88,310,178,ios
5D:1A:F7:C4:38:9B,607,mock-dataset-1,97492,30,D42,20,24,38,Helium,38423,2,5.0,44,34,39.17578,-6,-90,-76.6689,716,66,700,2026-01-20 16:18:00,74,410,-78,310,161,android
A2:6E:85:D1:4C:F0,675,mock-dataset-5,97492,69,A1,20,44,89,Helium,38423,0,5.0,48,21,39.1757,-18,-117,-76.6688,1010,66,700,2026-01-20 16:22:00,47,410,-80,310,31,android
9B:3F:C8:57:E2:1A,191,mock-dataset-1,97492,112,D40,20,28,48,Helium,38423,1,5.0,36,-2,39.17563,-18,-94,-76.66865,975,66,700,2026-01-20 16:26:00,88,410,-70,310,122,android
9B:3F:C8:57:E2:1A,746,mock-dataset-1,97492,41,A4,20,9,75,Helium,38423,1,5.0,153,36,39.17555,-2,-93,-76.66855,752,66,700,2026-01-20 16:29:00,35,410,-94,310,166,ios
9B:3F:C8:57:E2:1A,1183,mock-dataset-2,97492,132,A12,20,10,91,Helium,38423,1,2.4,1,45,39.17548,-10,-110,-76.66845,763,66,700,2026-01-20 16:33:00,74,410,-55,310,-4,ios
9B:3F:C8:57:E2:1A,415,mock-dataset-3,97492,7,C13,20,18,82,Helium,38423,1,2.4,6,37,39.1754,-10,-109,-76.66835,503,92,700,2026-01-20 16:37:00,104,410,-82,310,102,ios
9B:3F:C8:57:E2:1A,1194,mock-dataset-3,97492,128,E1,20,51,57,Helium,38423,0,2.4,11,8,39.17533,-26,-91,-76.66825,1130,92,700,2026-01-20 16:40:00,25,410,-86,310,86,ios
F2:8D:46:B1:C9:05,913,mock-dataset-2,97492,146,C11,20,23,57,Helium,38423,4,2.4,11,40,39.17525,-4,-87,-76.66815,457,92,700,2026-01-20 16:44:00,66,410,-82,310,175,android
2A:C7:5E:08:D3:9F,775,mock-dataset-1,97492,41,D15,20,18,94,Helium,38423,4,5.0,36,36,39.17518,-9,-100,-76.66805,809,92,700,2026-01-20 16:48:00,70,410,-70,310,86,android
85:4B:F6:31:EA:7C,842,mock-dataset-3,97492,36,A3,20,28,87,Helium,38423,2,5.0,157,44,39.17505,-21,-107,-76.6678,121,92,700,2026-01-20 16:51:00,85,410,-90,310,99,android
D9:02:8F:C5:67:3A,911,mock-dataset-4,97492,-1,C1,20,39,89,Helium,38423,0,5.0,116,21,39.17498,-6,-97,-76.6677,854,92,700,2026-01-20 16:55:00,87,410,-80,310,27,ios
41:E8:B3:7D:0A:F6,425,mock-dataset-3,97492,-5,B3,20,40,52,Helium,38423,4,5.0,124,50,39.1749,-10,-91,-76.6676,206,92,700,2026-01-20 16:59:00,74,410,-58,310,39,android
41:E8:B3:7D:0A:F6,886,mock-dataset-1,97492,168,D21,20,21,44,Helium,38423,3,5.0,44,47,39.17483,-17,-103,-76.6675,1108,92,700,2026-01-20 17:03:00,42,410,-81,310,94,ios
41:E8:B3:7D:0A:F6,1052,mock-dataset-3,97492,71,E5/E7/E9,20,16,87,Helium,38423,0,5.0,48,9,39.17475,-20,-100,-76.6674,856,92,700,2026-01-20 17:06:00,94,410,-62,310,27,ios
41:E8:B3:7D:0A:F6,658,mock-dataset-4,97493,166,B6,20,33,81,Helium,38423,0,2.4,1,1,39.17468,-13,-111,-76.6673,605,92,700,2026-01-20 17:10:00,80,410,-93,310,59,android
41:E8:B3:7D:0A:F6,870,mock-dataset-4,97493,140,D1,20,13,47,Helium,38423,0,2.4,6,40,39.1746,-6,-94,-76.6672,1034,92,700,2026-01-20 17:14:00,57,410,-69,310,105,ios
EA:36:81:CF:49:5D,1133,mock-dataset-4,97493,190,C1,20,27,81,Helium,38423,0,2.4,11,31,39.17445,-20,-98,-76.66695,509,92,700,2026-01-20 17:17:00,72,410,-77,310,36,ios
58:AD:F2:17:6B:C0,426,mock-dataset-3,97493,30,A9,20,37,62,Helium,38423,3,2.4,11,21,,-17,-108,,178,92,700,2026-01-20 17:21:00,45,410,-77,310,10,ios
1C:70:E9:34:A5:8F,728,mock-dataset-4,97493,1,D20,20,34,76,Helium,38423,0,2.4,1,40,,-4,-106,,324,92,700,2026-01-20 17:25:00,95,410,-80,310,-1,ios
CF:4A:85:D0:2E:73,984,mock-dataset-5,97493,195,D23,20,10,96,Helium,38423,3,2.4,6,36,,-6,-101,,735,104,700,2026-01-20 17:28:00,68,410,-66,310,109,ios
72:B8:1D:69:F4:A6,459,mock-dataset-5,97493,72,A9,20,13,83,Helium,38423,2,2.4,1,19,,-8,-94,,1000,104,700,2026-01-20 17:32:00,70,410,-74,310,88,android
AE:25:C0:7F:53:D9,1084,mock-dataset-2,97493,60,A16,20,36,55,Helium,38423,2,2.4,6,12,,-19,-92,,749,104,700,2026-01-20 17:36:00,85,410,-72,310,87,android
39:F1:6C:B8:04:E2,359,mock-dataset-2,97493,82,C5,20,7,38,Helium,38423,3,2.4,11,15,,-20,-116,,912,104,700,2026-01-20 17:40:00,44,410,-82,310,53,android
84:5E:A7:23:CF:10,814,mock-dataset-2,97493,104,C8,20,21,105,Helium,38423,1,2.4,11,33,,-5,-97,,174,104,700,2026-01-20 17:43:00,72,410,-66,310,166,android
D0:79:32:EC:46:8B,714,mock-dataset-3,97493,83,C6,20,21,86,Helium,38423,4,5.0,36,36,,-7,-107,,148,104,700,2026-01-20 17:47:00,68,410,-83,310,152,android
D0:79:32:EC:46:8B,322,mock-dataset-2,97493,15,C6,20,37,27,Helium,38423,0,5.0,157,5,,-14,-85,,750,104,700,2026-01-20 17:51:00,88,410,-87,310,133,ios
D0:79:32:EC:46:8B,946,mock-dataset-5,97493,131,D11,20,20,40,Helium,38423,1,5.0,116,35,,-18,-113,,1157,104,700,2026-01-20 17:54:00,102,410,-67,310,135,ios
D0:79:32:EC:46:8B,758,mock-dataset-5,97493,17,C14,20,24,55,Helium,38423,1,5.0,124,32,,-7,-87,,556,104,700,2026-01-20 17:58:00,103,410,-77,310,136,ios
D0:79:32:EC:46:8B,136,mock-dataset-2,97493,134,C5,20,11,89,Helium,38423,4,5.0,44,18,,-18,-94,,777,104,700,2026-01-20 18:02:00,60,410,-58,310,9,android
D0:79:32:EC:46:8B,154,mock-dataset-2,97493,189,C6,20,-7,89,Helium,38423,1,5.0,48,4,,-13,-100,,859,215,700,2026-01-20 18:06:00,91,410,-91,310,10,android
BA:57:08:F3:2C:95,333,mock-dataset-4,97493,78,D7,20,7,92,Helium,38423,4,5.0,36,21,,-12,-93,,573,215,700,2026-01-20 18:09:00,96,410,-57,310,67,ios
0D:A2:7E:C1:68:DB,496,mock-dataset-2,97493,172,A16,20,16,86,Helium,38423,4,5.0,157,43,,-3,-104,,266,215,700,2026-01-20 18:13:00,45,410,-55,310,60,android
51:C9:B4:0A:E7:32,162,mock-dataset-4,97493,156,E2,20,41,87,Helium,38423,1,5.0,116,5,,-16,-115,,461,215,700,2026-01-20 18:17:00,25,410,-80,310,64,ios
9E:34:DF:86:4B:C0,1009,mock-dataset-3,97493,105,D22,20,31,74,Helium,38423,3,5.0,124,35,,-3,-104,,811,215,700,2026-01-20 18:20:00,39,410,-67,310,54,ios
C2:6B:10:F5:A9:47,1120,mock-dataset-3,97493,44,E8/E10/E12,20,41,47,Helium,38423,1,5.0,44,-7,,-25,-111,,390,215,700,2026-01-20 18:24:00,68,410,-71,310,32,ios
3F:87:DC:24:91:E6,652,mock-dataset-3,97493,62,E5/E7/E9,20,40,85,Helium,38423,3,5.0,48,38,,-5,-106,,1042,215,700,2026-01-20 18:28:00,47,410,-52,310,63,android
78:A0:45:EB:1C:B9,275,mock-dataset-2,97493,198,C12,20,52,40,Helium,38423,4,5.0,36,16,,-21,-107,,119,215,700,2026-01-20 18:31:00,93,410,-78,310,28,ios
4A:7B:C2:9E:1D:F8,673,mock-dataset-5,97492,49,A11,20,57,85,Helium,38423,1,2.4,1,3,39.17615,-12,-91,-76.66945,144,66,700,2026-01-20 16:00:00,53,410,-86,310,123,ios
B3:2E:8A:D4:6F:01,166,mock-dataset-5,97492,127,D31/D31A,20,30,85,Helium,38423,0,5.0,36,18,39.17608,-1,-99,-76.66935,638,66,700,2026-01-20 16:04:00,45,410,-89,310,155,android
B3:2E:8A:D4:6F:01,839,mock-dataset-3,97492,73,A1,20,12,75,Helium,38423,4,5.0,157,2,39.176,-13,-113,-76.66925,520,66,700,2026-01-20 16:07:00,23,410,-69,310,114,android
B3:2E:8A:D4:6F:01,622,mock-dataset-5,97492,7,E3,20,-3,59,Helium,38423,1,5.0,116,1,39.17593,-17,-104,-76.66915,791,66,700,2026-01-20 16:11:00,83,410,-91,310,161,ios
